user_id,user_archetype,patient,component,hover_duration
30,a,4,echarts_plot,0.099
30,a,4,echarts_plot,1.783
30,a,5,patient_details_indices_of_multiple_deprivation_decile:,0.08
30,a,5,patient_details_co-morbidities:,1.161
30,a,5,patient_details_indices_of_multiple_deprivation_decile:,0.149
30,a,5,patient_details_co-morbidities:,0.064
30,a,5,patient_details_diagnosis:,1.533
30,a,5,patient_details_antibiotic_treatment:,0.09
30,a,5,patient_details_antibiotic_treatment:,1.05
30,a,5,patient_details_antibiotic_treatment:,0.091
30,a,5,vitals_table_Temperature,1.905
30,a,5,vitals_table_Respiratory Rate,0.064
30,a,5,vitals_table_Temperature,0.067
30,a,5,vitals_table_Temperature,0.069
30,a,5,vitals_table_Respiratory Rate,0.143
30,a,5,vitals_table_Respiratory Rate,0.067
30,a,5,vitals_table_Temperature,0.043
30,a,5,vitals_table_Temperature,0.095
30,a,5,vitals_table_Heart Rate,0.105
30,a,5,vitals_table_Respiratory Rate,0.047
30,a,5,vitals_table_Systolic Blood Pressure,0.497
30,a,5,patient_details_diagnosis:,0.042
30,a,5,vitals_table_Metric / Time (hours),0.094
30,a,5,patient_details_co-morbidities:,0.064
30,a,5,patient_details_indices_of_multiple_deprivation_decile:,0.035
30,a,5,vitals_table_Heart Rate,0.033
30,a,5,vitals_table_Temperature,0.049
30,a,5,vitals_table_Respiratory Rate,0.005
30,a,5,vitals_table_Mean Arterial Pressure,0.659
30,a,5,vitals_table_SpO2,0.096
30,a,5,vitals_table_Mean Arterial Pressure,0.038
30,a,5,vitals_table_Diastolic Blood Pressure,0.08
30,a,5,vitals_table_Diastolic Blood Pressure,0.092
30,a,5,vitals_table_Heart Rate,3.073
30,a,5,vitals_table_Mean Arterial Pressure,4.132
30,a,5,echarts_plot,2.384
30,a,5,vitals_table_Supplemental Oxygen,0.966
30,a,5,echarts_plot,1.891
30,a,5,guidelines_pdf_simple,0.577
30,a,6,patient_details_co-morbidities:,0.058
30,a,6,patient_details_indices_of_multiple_deprivation_decile:,0.02
30,a,6,patient_details_sex:,0.045
30,a,6,patient_details_age:,0.717
30,a,6,patient_details_sex:,0.086
30,a,6,patient_details_ethnicity:,0.01
30,a,6,patient_details_indices_of_multiple_deprivation_decile:,0.485
30,a,6,patient_details_co-morbidities:,0.044
30,a,6,patient_details_co-morbidities:,0.254
30,a,6,patient_details_co-morbidities:,0.799
30,a,6,patient_details_indices_of_multiple_deprivation_decile:,1.599
30,a,6,patient_details_co-morbidities:,0.016
30,a,6,patient_details_diagnosis:,0.998
30,a,6,patient_details_antibiotic_treatment:,0.616
30,a,6,vitals_table_Temperature,0.052
30,a,6,vitals_table_Temperature,0.068
30,a,6,vitals_table_Temperature,0.084
30,a,6,vitals_table_Temperature,1.294
30,a,6,vitals_table_Temperature,0.052
30,a,6,vitals_table_Temperature,0.055
30,a,6,vitals_table_Respiratory Rate,0.045
30,a,6,vitals_table_Respiratory Rate,0.289
30,a,6,vitals_table_Heart Rate,3.851
30,a,6,vitals_table_Heart Rate,0.147
30,a,6,vitals_table_Systolic Blood Pressure,0.056
30,a,6,vitals_table_Systolic Blood Pressure,2.209
30,a,6,vitals_table_Systolic Blood Pressure,1.78
30,a,6,vitals_table_Systolic Blood Pressure,0.053
30,a,6,vitals_table_Heart Rate,0.047
