user_id,user_archetype,patient,component,hover_duration
1,b,1,prediction_alert,0.019
1,b,1,prediction_alert,0.767
1,b,1,prediction_alert,0.016
1,b,1,prediction_alert,0.182
1,b,1,prediction_alert,0.41
1,b,1,prediction_alert,0.017
1,b,1,guideline_alert,0.017
1,b,1,guideline_alert,0.013
1,b,1,guideline_alert,0.018
1,b,1,guideline_alert,0.054
1,b,1,guideline_alert,0.01
1,b,1,guideline_alert,0.004
1,b,1,prediction_alert,0.015
1,b,1,prediction_alert,0.035
1,b,1,prediction_alert,1.572
1,b,1,prediction_alert,0.023
1,b,1,feature_image,0.033
1,b,1,feature_image,0.4
1,b,1,feature_image,2.466
1,b,1,LLM_positive_points,7.283
1,b,1,LLM_positive_points,11.685
1,b,1,LLM_positive_points,0.015
1,b,1,feature_image,0.275
1,b,1,feature_image,0.114
1,b,1,feature_image,4.769
1,b,1,feature_image,0.133
1,b,1,feature_image,0.232
1,b,1,LLM_positive_points,0.786
1,b,1,LLM_positive_points,0.463
1,b,1,LLM_positive_points,4.028
1,b,1,LLM_positive_points,1.002
1,b,1,LLM_positive_points,6.682
1,b,1,feature_image,1.783
1,b,1,feature_image,1.233
1,b,1,similar_table_1,0.079
1,b,1,similar_table_Similar patient,0.04
1,b,1,similar_table_Similar patient,0.181
1,b,1,similar_table_1,0.648
1,b,1,LLM_positive_points,0.266
1,b,1,LLM_positive_points,0.197
1,b,1,LLM_positive_points,0.265
1,b,1,LLM_positive_points,1.567
1,b,1,LLM_positive_points,0.114
1,b,1,LLM_positive_points,9.317
1,b,1,LLM_positive_points,3.244
1,b,1,LLM_positive_points,0.033
1,b,1,LLM_positive_points,0.016
1,b,1,LLM_positive_points,0.016
1,b,1,LLM_positive_points,0.015
1,b,1,LLM_positive_points,0.016
1,b,1,similar_table_Similar patient,0.017
1,b,1,patient_table,0.018
1,b,1,patient_table,0.132
1,b,1,patient_table,0.056
1,b,1,patient_table,0.251
1,b,1,LLM_positive_points,0.017
1,b,1,LLM_positive_points,0.147
1,b,1,LLM_positive_points,0.567
1,b,1,LLM_positive_points,0.134
1,b,1,LLM_positive_points,1.413
1,b,1,LLM_positive_points,1.001
1,b,1,LLM_positive_points,2.18
1,b,1,LLM_positive_points,0.171
1,b,1,LLM_positive_points,0.209
1,b,1,LLM_positive_points,0.365
1,b,1,LLM_positive_points,0.017
1,b,1,LLM_positive_points,0.015
1,b,1,vitals_table_Temperature,0.618
1,b,2,patient_details_,0.036
1,b,2,patient_details_,0.055
1,b,2,patient_details_,0.017
1,b,2,patient_details_,0.166
1,b,2,patient_details_diagnosis:,0.146
1,b,2,patient_details_antibiotic_treatment:,1.815
1,b,2,vitals_table_Metric / Time (hours),0.032
1,b,2,vitals_table_Temperature,0.014
1,b,2,vitals_table_Respiratory Rate,0.018
1,b,2,vitals_table_Respiratory Rate,0.014
1,b,2,vitals_table_Heart Rate,0.033
1,b,2,vitals_table_Diastolic Blood Pressure,0.055
1,b,2,vitals_table_Systolic Blood Pressure,0.005
1,b,2,vitals_table_Systolic Blood Pressure,0.03
1,b,2,patient_details_diagnosis:,0.019
1,b,2,patient_details_,0.014
1,b,2,patient_details_co-morbidities:,0.015
1,b,2,patient_details_imddecil:,0.031
1,b,2,patient_details_ethnicity:,0.082
1,b,2,patient_details_imddecil:,0.05
1,b,2,patient_details_co-morbidities:,0.017
1,b,2,patient_details_diagnosis:,0.347
1,b,2,patient_details_antibiotic_treatment:,1.467
1,b,2,patient_details_antibiotic_treatment:,0.068
1,b,2,patient_details_diagnosis:,0.13
1,b,2,patient_details_,0.068
1,b,2,patient_details_diagnosis:,1.568
1,b,2,patient_details_antibiotic_treatment:,0.015
1,b,2,vitals_table_Respiratory Rate,0.015
1,b,2,vitals_table_Diastolic Blood Pressure,0.0
1,b,2,vitals_table_Systolic Blood Pressure,0.0
1,b,2,vitals_table_Temperature,0.016
1,b,2,vitals_table_Respiratory Rate,0.016
1,b,2,vitals_table_Diastolic Blood Pressure,0.033
1,b,2,vitals_table_Systolic Blood Pressure,0.02
1,b,2,vitals_table_Systolic Blood Pressure,0.0
1,b,2,vitals_table_Systolic Blood Pressure,0.0
1,b,2,vitals_table_Glasgow Coma Score,0.049
1,b,2,vitals_table_Glasgow Coma Score,0.015
1,b,2,vitals_table_NEWS Conscious Level Score,0.031
1,b,2,vitals_table_NEWS Conscious Level Score,1.046
1,b,2,vitals_table_Glasgow Coma Score,0.03
1,b,2,vitals_table_Glasgow Coma Score,0.033
1,b,2,vitals_table_SpO2,0.03
1,b,2,vitals_table_Mean Arterial Pressure,0.032
1,b,2,vitals_table_Mean Arterial Pressure,0.645
1,b,2,vitals_table_Mean Arterial Pressure,0.482
1,b,2,vitals_table_Mean Arterial Pressure,0.016
1,b,2,vitals_table_Mean Arterial Pressure,0.015
1,b,2,vitals_table_Mean Arterial Pressure,0.011
1,b,2,vitals_table_Mean Arterial Pressure,0.015
1,b,2,vitals_table_Mean Arterial Pressure,0.014
1,b,2,vitals_table_Mean Arterial Pressure,0.011
1,b,2,vitals_table_Mean Arterial Pressure,0.016
1,b,2,echarts_plot,0.098
1,b,2,prediction_alert,0.017
1,b,2,prediction_alert,0.015
1,b,2,prediction_alert,0.045
1,b,2,prediction_alert,0.348
1,b,2,prediction_alert,0.048
1,b,2,similar_table_Similar patient,0.178
1,b,2,similar_table_4,0.016
1,b,2,similar_table_4,0.315
1,b,2,similar_table_4,0.032
1,b,2,similar_table_4,0.016
1,b,2,similar_table_5,0.015
1,b,2,similar_table_5,0.4
1,b,2,similar_table_5,1.898
1,b,2,similar_table_5,0.083
1,b,2,similar_table_4,0.071
1,b,2,similar_table_4,0.052
1,b,2,similar_table_3,0.138
1,b,2,similar_table_2,0.026
1,b,2,similar_table_2,0.13
1,b,2,similar_table_1,0.516
1,b,2,similar_table_1,0.363
1,b,2,similar_table_1,0.565
1,b,2,similar_table_1,0.232
1,b,2,similar_table_1,0.248
1,b,2,similar_table_1,0.07
1,b,2,similar_table_1,0.207
1,b,2,similar_table_1,1.282
1,b,2,similar_table_1,0.617
1,b,2,similar_table_1,0.046
1,b,2,similar_table_2,0.015
1,b,2,similar_table_2,0.017
1,b,2,similar_table_3,0.014
1,b,2,similar_table_3,0.033
1,b,2,similar_table_3,0.197
1,b,2,similar_table_2,0.061
1,b,2,similar_table_2,0.032
1,b,2,similar_table_1,0.051
1,b,2,similar_table_1,0.25
1,b,2,similar_table_1,0.105
1,b,2,similar_table_Similar patient,0.049
1,b,2,similar_table_Similar patient,0.142
1,b,2,similar_table_Similar patient,0.029
1,b,2,similar_table_1,0.066
