user_id,user_archetype,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29
0,a,4,5,2,4,5,4,4,5,4,4,4,3,4,5,5,3,4,4,4,4,4,2,3,4,3,5,"i found it useful where i was uncertain, the similarity scores were helpful but took sme gettting used to + interpret, the graphing function is slow over the interent but would be more likely to use this in practice, can you calculate ews in the sytem, worth included shaded area for normal range on graph when you hover (could use ranges from NEWS score), could you highlight last 24 hours in the data table, "
1,b,4,4,4,5,1,5,5,5,4,2,3,4,4,5,5,3,4,1,3,2,2,5,1,5,4,5,"It should be used to informed the potential cases that may have been missed, not to directly influence decision to switch."
2,a,4,3,4,5,5,3,3,3,4,4,2,5,4,5,5,4,3,2,3,3,4,4,3,3,3,4,thanks for this interesting opportunity
3,b,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,4,4,4,CRP would be helpful. providing ranges for the biochemistry would help
4,a,3,3,4,4,4,4,2,4,4,4,3,4,4,3,4,4,3,1,4,4,1,4,4,4,3,4,
5,b,4,3,2,2,4,2,2,2,3,4,3,4,4,4,5,3,2,4,3,4,1,3,4,3,3,4,
6,a,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,5,Does the AI CDSS provide reassurance to your independent decision making. 
7,b,3,4,2,4,4,4,4,4,3,3,3,4,3,4,4,3,3,3,3,4,3,4,4,4,3,4,The population of the graphs was not always easy to see trends particularly for temperature as the axis range was so big.,4,4
8,a,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,2,2,4,3,4,2,4,"I think this tool would be really beneficial in a clinical context provided it had the relevant clinical details. As opposed to making a recommendation, i think this tool would be useful for highlighting potential patients that may be suitable for an oral switch.",4,4
9,b,2,3,2,2,4,3,3,3,3,2,3,3,4,4,4,3,3,3,3,2,2,3,2,2,3,2,The key piece of information missing from some of the vignettes was what the diagnosis was. I was often unwilling to make a decision without knowing what infection was being treated. Determination of diagnosis would be a key area for AI in the future. ,3,2
10,a,4,4,3,5,3,4,4,4,3,5,3,5,4,5,5,4,4,2,3,4,3,5,2,4,3,4,"I think that much of the decision making around IV-to-oral switch is centred on the infection diagnosis and antimicrobial therapy (in combination with the patient's vital signs and subjective improvement). Infection diagnosis did not seem to feature in the AI decision making which would be a concern for users. Also, the use of ""prediction correct"" in the AI table could have better terminology as implies that this is what ""should have happened"", rather than ""what actually did happen"". ",5,5
11,b,3,4,3,4,4,3,3,2,3,3,1,4,4,4,4,3,3,3,3,3,2,3,3,4,2,4,"It would be better to have less data eg no need for both MAP and BP, difficult to scroll across, would be helpful to have blood test results, comments about appearance of cellulitis and general appearance of patients ",3,4
12,a,2,3,3,3,2,2,2,2,2,4,3,4,4,4,4,3,4,2,3,2,2,4,3,2,3,2,,2,4
13,b,3,3,2,2,2,4,2,2,4,4,2,4,4,3,4,3,4,3,3,3,2,4,4,4,3,4,I think could be a helpful tool in principle but needs some development,4,4
14,a,4,4,2,5,5,5,5,4,2,4,2,4,4,4,4,3,2,2,2,4,2,2,3,4,3,4,"Needs to include CRP and WBC. Sensitivities. Need diagnosis and some require longer treatments.  Swabs, cultures and sensitivities - what have you grown. ",4,4
15,b,4,4,3,4,5,4,4,5,4,4,4,4,4,4,4,3,3,4,3,4,2,4,4,4,3,4,,4,4
16,a,4,3,2,3,3,2,2,2,2,2,2,4,4,4,4,3,2,2,2,3,2,2,3,2,2,2,We have a love affair with iv antibiotics in healthcare and there is now an emerging body of evidence that po abx are not necessarily inferior to iv abx.  We need to be careful that a model trained on historical practice isn't encumbered by this bias.,3,3
17,b,4,4,3,4,4,4,3,4,4,4,3,4,4,4,5,3,3,2,4,4,4,3,2,4,3,5,potentially exciting tool,4,3
18,a,4,3,3,3,4,3,4,4,4,4,4,4,3,3,4,3,1,2,3,3,3,4,3,3,4,4,useful for junior non-specialist antibiotic prescribers,3,2
19,b,4,4,4,4,4,4,3,4,4,3,3,4,4,4,5,4,3,3,4,4,3,4,3,4,4,4,,4,2
20,a,3,4,4,4,4,4,5,5,4,5,3,4,4,5,5,5,3,2,4,4,2,3,2,4,3,5,"useful tool aimed at ward nurses / junior docs in a ward round context, would potentially free up microbiologist time and increase IVOS happening early. research on how to integrate it would be essential.",4,4
21,b,2,4,4,5,5,5,5,5,5,4,3,4,4,4,4,4,3,2,4,5,4,3,2,5,3,5,reliance on the AICDSS was very high when little clinical information was present,4,4
22,a,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,4,2,4,3,4,4,3,2,4,4,5,,5,5
23,b,4,3,2,4,4,4,3,3,4,4,3,5,4,5,4,3,3,2,4,2,2,4,2,4,3,4,,5,4
24,a,3,3,4,4,4,2,3,3,4,2,2,2,4,4,5,3,3,2,2,2,2,2,3,3,3,3,VErbal comments given,2,4
25,b,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,5,2,5,4,5,"Inflammatory markers such as crp and full blood count, pct, need to be integrated. Hyperthermia is often neglected or not picked up until the patient temp drops to 34, it is a very significant marker for sepsis. ",5,4
26,a,4,4,2,3,5,4,2,1,3,2,2,4,5,4,4,3,3,2,3,3,2,4,4,4,3,4,"I think it is a fantastic development, I presume there will be other parameters included in the tool to allow full functionality comparable with ""good clinical judgement"". The toolsets to use many frequent readings of various parameters which is overall higher than the number of readings in real NHS practice. Not having information on the fuller clinical picture of the cases presented did not perfectly in some of them real clinical practice.",5,2
