Page Name,Timestamp
/,2024-02-15 11:24:46.039950+00:00
/patients,2024-02-15 11:24:46.054906+00:00
/1/,2024-02-15 11:24:47.985730+00:00
/1/guideline/,2024-02-15 11:25:00.879056+00:00
/1/,2024-02-15 11:25:03.706142+00:00
/1/prediction/,2024-02-15 11:25:06.184061+00:00
/1/,2024-02-15 11:25:14.800523+00:00
/1/process_user_input/,2024-02-15 11:25:25.381594+00:00
/patients,2024-02-15 11:25:25.391752+00:00
logout,2024-02-15 11:25:29.261326+00:00
/,2024-02-15 11:44:07.534018+00:00
/patients,2024-02-15 11:44:07.548562+00:00
/1/,2024-02-15 11:44:12.528709+00:00
/patients,2024-02-15 11:44:18.037947+00:00
logout,2024-02-15 11:44:19.742419+00:00
